,Ref_task1_Time,User_task1_Time,Ref_task1_Force,User_task1_Force,Ref_task1_L_pitchAcc,User_task1_L_pitchAcc,Ref_task1_L_yawAcc,User_task1_L_yawAcc,Ref_task1_R_pitchAcc,User_task1_R_pitchAcc,Ref_task1_R_yawAcc,User_task1_R_yawAcc,Ref_task1_L_surgeAcc,User_task1_L_surgeAcc,Ref_task1_L_rollAcc,User_task1_L_rollAcc,Ref_task1_R_surgeAcc,User_task1_R_surgeAcc,Ref_task1_R_rollAcc,User_task1_R_rollAcc,Ref_task1_L_pitchVel,User_task1_L_pitchVel,Ref_task1_L_yawVel,User_task1_L_yawVel,Ref_task1_R_pitchVel,User_task1_R_pitchVel,Ref_task1_R_yawVel,User_task1_R_yawVel,Ref_task1_L_surgeVel,User_task1_L_surgeVel,Ref_task1_L_rollVel,User_task1_L_rollVel,Ref_task1_R_surgeVel,User_task1_R_surgeVel,Ref_task1_R_rollVel,User_task1_R_rollVel,Ref_task1_L_pitch,User_task1_L_pitch,Ref_task1_L_yaw,User_task1_L_yaw,Ref_task1_R_pitch,User_task1_R_pitch,Ref_task1_R_yaw,User_task1_R_yaw,Ref_task1_L_surge,User_task1_L_surge,Ref_task1_L_roll,User_task1_L_roll,Ref_task1_R_surge,User_task1_R_surge,Ref_task1_R_roll,User_task1_R_roll
650,,,,,,,,,,,,,[-0.],[0.02],[-0.],[-0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.19],[7.74],,,,,,,,,,
651,,,,,,,,,,,,,[-0.],[-0.],[-0.],[0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.2],[7.74],,,,,,,,,,
652,,,,,,,,,,,,,[-0.],[-0.],[-0.],[-0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.22],[7.74],,,,,,,,,,
653,,,,,,,,,,,,,[-0.],[-0.],[-0.],[-0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.22],[7.74],,,,,,,,,,
654,,,,,,,,,,,,,[-0.],[-0.],[-0.],[0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.24],[7.74],,,,,,,,,,
655,,,,,,,,,,,,,[-0.01],[-0.02],[-0.],[0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.26],[7.74],,,,,,,,,,
656,,,,,,,,,,,,,[-0.01],[-0.01],[-0.],[0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.29],[7.74],,,,,,,,,,
657,,,,,,,,,,,,,[-0.01],[-0.01],[-0.],[0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.33],[7.74],,,,,,,,,,
658,,,,,,,,,,,,,[0.],[-0.],[-0.],[-0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.33],[7.74],,,,,,,,,,
659,,,,,,,,,,,,,[0.],[0.],[-0.],[-0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.38],[7.74],,,,,,,,,,
660,,,,,,,,,,,,,[0.],[0.],[-0.],[-0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.44],[7.74],,,,,,,,,,
661,,,,,,,,,,,,,[0.],[0.],[-0.],[0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.5],[7.74],,,,,,,,,,
662,,,,,,,,,,,,,[0.],[0.],[-0.],[-0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.54],[7.74],,,,,,,,,,
663,,,,,,,,,,,,,[0.01],[0.],[-0.],[0.],,,,,,,,,,,,,,,,,,,,,,,,,[7.63],[7.74],,,,,,,,,,
664,,,,,,,,,,,,,[-0.],[0.],[-0.],[0.],,,,,,,,,,,,,,,,,,,,,,,,,[8.],[7.74],,,,,,,,,,
665,,,,,,,,,,,,,[0.],[0.],[-0.],[0.],,,,,,,,,,,,,,,,,,,,,,,,,[8.68],[10.6],,,,,,,,,,
666,,,,,,,,,,,,,[0.],[0.],[-0.],[-0.],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,,,,,,,,,,,,,[0.01],[0.01],[-0.],[0.],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,,,,,,,,,,,,,[0.01],[0.01],[-0.],[0.],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
