,Ref_task1_Time,User_task1_Time,Ref_task1_Force,User_task1_Force,Ref_task1_L_pitchAcc,User_task1_L_pitchAcc,Ref_task1_L_yawAcc,User_task1_L_yawAcc,Ref_task1_R_pitchAcc,User_task1_R_pitchAcc,Ref_task1_R_yawAcc,User_task1_R_yawAcc,Ref_task1_L_surgeAcc,User_task1_L_surgeAcc,Ref_task1_L_rollAcc,User_task1_L_rollAcc,Ref_task1_R_surgeAcc,User_task1_R_surgeAcc,Ref_task1_R_rollAcc,User_task1_R_rollAcc,Ref_task1_L_pitchVel,User_task1_L_pitchVel,Ref_task1_L_yawVel,User_task1_L_yawVel,Ref_task1_R_pitchVel,User_task1_R_pitchVel,Ref_task1_R_yawVel,User_task1_R_yawVel,Ref_task1_L_surgeVel,User_task1_L_surgeVel,Ref_task1_L_rollVel,User_task1_L_rollVel,Ref_task1_R_surgeVel,User_task1_R_surgeVel,Ref_task1_R_rollVel,User_task1_R_rollVel,Ref_task1_L_pitch,User_task1_L_pitch,Ref_task1_L_yaw,User_task1_L_yaw,Ref_task1_R_pitch,User_task1_R_pitch,Ref_task1_R_yaw,User_task1_R_yaw,Ref_task1_L_surge,User_task1_L_surge,Ref_task1_L_roll,User_task1_L_roll,Ref_task1_R_surge,User_task1_R_surge,Ref_task1_R_roll,User_task1_R_roll
312,[17.915],[17.597],[0.11],[0.11],[-0.01],[-0.01],[0.01],[0.],[0.02],[0.],[0.01],[0.01],[-0.],[0.],[-0.],[-0.],[0.],[-1.25],[-1.28],[-1.25],[-0.07],[0.33],[0.67],[0.51],[2.51],[-0.5],[-0.36],[0.27],[0.],[0.],[-0.27],[-0.32],[4.43],[0.],[0.],[0.],[-19.8],[-20.73],[-24.3],[-24.78],[26.61],[26.7],[-20.9],[-20.89],[-42273.],[43018.],[-466.],[-2157.],[163936.],[2073442.],[195211.],[2785843.]
313,[17.964],[17.597],[0.11],[0.11],[0.01],[-0.01],[-0.02],[0.],[-0.],[0.],[0.01],[0.01],[-0.],[0.],[0.],[-0.],[-0.],[-1.25],[-1.28],[-1.25],[0.44],[0.33],[0.57],[0.51],[4.18],[-0.7],[0.84],[0.27],[0.],[0.02],[-0.27],[-0.25],[3.63],[0.],[0.],[0.],[-19.79],[-20.73],[-24.3],[-24.73],[26.61],[26.66],[-20.9],[-20.98],[-42631.],[43018.],[-440.],[-2157.],[163922.],[2073442.],[195211.],[2785843.]
314,[18.014],[17.597],[0.11],[0.11],[-0.01],[-0.01],[0.01],[0.],[-0.],[-0.],[-0.03],[-0.01],[-0.],[0.],[-0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.03],[0.33],[0.45],[0.51],[-0.82],[-0.51],[1.28],[0.27],[0.],[0.],[-0.16],[-0.12],[638.12],[0.],[0.],[0.],[-19.78],[-20.73],[-24.3],[-24.7],[26.61],[26.61],[-20.9],[-21.01],[-43216.],[43018.],[-424.],[-2157.],[163906.],[2073442.],[195209.],[2785843.]
315,[18.063],[17.597],[0.12],[0.12],[-0.],[-0.01],[0.01],[0.],[-0.05],[-0.01],[0.02],[-0.01],[-0.],[0.],[0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[0.43],[0.33],[0.23],[0.51],[-0.78],[-0.51],[1.37],[0.27],[0.],[0.],[-0.16],[-0.22],[2.29],[0.],[0.],[0.],[-19.78],[-20.73],[-24.3],[-24.62],[26.61],[26.58],[-20.9],[-20.98],[-43789.],[43018.],[-420.],[-2157.],[163885.],[2073442.],[195209.],[2785843.]
316,[18.111],[17.597],[0.13],[0.15],[-0.02],[-0.01],[0.],[0.],[0.01],[0.01],[-0.02],[-0.01],[0.],[0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.5],[0.33],[0.99],[0.51],[-0.78],[-0.58],[-0.11],[0.27],[0.],[0.],[-0.16],[-0.16],[0.],[0.],[0.],[0.],[-19.76],[-20.73],[-24.3],[-24.65],[26.61],[26.56],[-20.9],[-20.82],[-44249.],[43018.],[-409.],[-2157.],[163853.],[2073442.],[195210.],[2785843.]
317,[18.16],[17.597],[0.12],[0.1],[0.02],[0.01],[-0.01],[0.],[-0.01],[-0.01],[-0.03],[-0.01],[-0.],[0.],[0.],[-0.],[0.],[-1.25],[0.65],[-1.25],[-0.06],[0.33],[0.24],[0.51],[-0.78],[-0.86],[-0.5],[0.27],[0.],[0.],[-0.16],[-0.1],[0.],[0.],[0.],[0.],[-19.76],[-20.73],[-24.3],[-24.62],[26.61],[26.52],[-20.9],[-20.59],[-44485.],[43018.],[-400.],[-2157.],[163812.],[2073442.],[195210.],[2785843.]
318,[18.21],[17.597],[0.12],[0.13],[-0.01],[0.01],[-0.01],[0.],[0.01],[-0.],[0.04],[0.03],[-0.],[0.],[-0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.87],[0.33],[0.44],[0.51],[-0.78],[-0.46],[-0.19],[0.27],[0.],[0.],[-0.24],[-0.12],[0.],[0.],[0.],[0.],[-19.73],[-20.73],[-24.3],[-24.57],[26.61],[26.49],[-20.9],[-20.5],[-44669.],[43018.],[-394.],[-2157.],[163787.],[2073442.],[195211.],[2785843.]
319,[18.259],[17.597],[0.12],[0.12],[0.01],[0.01],[0.02],[0.],[-0.01],[0.],[-0.01],[0.],[-0.],[0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.41],[0.33],[0.86],[0.51],[-0.78],[-0.82],[0.06],[0.27],[0.],[0.06],[0.],[-0.04],[0.],[0.],[0.],[0.],[-19.71],[-20.73],[-24.29],[-24.5],[26.61],[26.47],[-20.9],[-20.46],[-44738.],[43018.],[-394.],[-2157.],[163786.],[2073442.],[195211.],[2785843.]
320,[18.308],[17.597],[0.11],[0.12],[0.],[0.01],[-0.02],[0.],[0.01],[-0.],[0.01],[0.],[-0.],[0.],[-0.],[-0.],[-0.03],[-1.25],[0.],[-1.25],[0.3],[0.33],[-0.33],[0.51],[-0.78],[-0.89],[0.58],[0.51],[0.],[0.04],[0.],[0.],[650.88],[0.],[0.],[0.],[-19.71],[-20.73],[-24.28],[-24.38],[26.61],[26.43],[-20.9],[-20.42],[-44778.],[43018.],[-394.],[-2157.],[163786.],[2073442.],[195211.],[2785843.]
321,[18.362],[17.597],[0.16],[0.14],[-0.],[0.01],[0.],[0.],[0.01],[-0.],[-0.03],[-0.02],[0.],[0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.56],[0.33],[0.07],[0.51],[-0.78],[-0.75],[0.58],[0.52],[0.59],[0.39],[0.],[0.],[0.],[0.],[-0.02],[0.],[-19.67],[-20.73],[-24.25],[-24.28],[26.61],[26.4],[-20.9],[-20.37],[-44778.],[43018.],[-394.],[-2157.],[163786.],[2073442.],[195211.],[2785843.]
322,[18.411],[17.597],[0.14],[0.14],[-0.],[0.01],[0.02],[0.],[0.02],[-0.01],[-0.04],[-0.02],[-0.],[0.],[-0.],[-0.],[-1.3],[-1.25],[-0.03],[-1.25],[0.21],[0.33],[0.47],[0.51],[-0.78],[-0.84],[-0.97],[-0.68],[0.59],[0.38],[0.],[0.02],[0.],[0.],[0.],[0.],[-19.65],[-20.73],[-24.24],[-24.28],[26.61],[26.35],[-20.96],[-20.28],[-44778.],[43018.],[-394.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
323,[18.459],[17.597],[0.14],[0.14],[0.],[0.01],[-0.01],[-0.01],[0.01],[0.04],[0.03],[0.],[-0.],[0.],[0.],[-0.],[-1.3],[-1.25],[0.],[-1.25],[0.68],[0.33],[0.51],[0.51],[-0.78],[-0.89],[0.27],[-0.55],[0.59],[0.48],[-0.22],[-0.12],[-0.02],[0.],[0.],[0.],[-19.64],[-20.73],[-24.19],[-24.15],[26.06],[26.31],[-21.04],[-20.15],[-44778.],[43018.],[-393.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
324,[18.508],[17.597],[0.14],[0.14],[-0.],[0.01],[-0.01],[-0.01],[-0.02],[-0.02],[0.02],[-0.],[0.],[0.],[0.],[-0.],[-1.3],[-1.25],[-1.3],[-1.25],[-0.21],[0.33],[0.23],[0.51],[-2.14],[-1.42],[-0.68],[-0.75],[0.59],[0.86],[-0.22],[-0.38],[0.],[0.],[0.],[0.],[-19.61],[-20.73],[-24.15],[-24.15],[26.06],[26.3],[-21.04],[-20.14],[-44778.],[43018.],[-393.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
325,[18.558],[17.597],[0.14],[0.14],[0.01],[0.01],[-0.01],[-0.06],[-0.02],[-0.02],[-0.01],[-0.],[0.],[0.],[0.],[-0.],[-1.3],[-1.25],[-1.3],[-1.25],[-0.04],[0.33],[-0.21],[0.51],[-0.5],[-1.42],[-1.94],[-0.81],[1.86],[1.08],[-0.22],[-0.46],[0.],[0.],[0.],[0.],[-19.6],[-20.73],[-24.11],[-24.15],[26.06],[26.27],[-21.13],[-20.15],[-44778.],[43018.],[-393.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
326,[18.611],[17.597],[0.14],[0.14],[-0.02],[0.01],[0.],[-0.03],[-0.02],[-0.02],[0.03],[0.01],[0.],[-0.],[0.],[-0.],[-1.3],[-1.25],[-1.3],[-1.25],[0.15],[0.33],[0.66],[0.51],[0.55],[0.59],[-0.19],[-0.14],[0.21],[0.44],[-0.08],[0.08],[0.],[0.],[0.],[0.],[-19.56],[-20.73],[-24.07],[-24.15],[26.06],[26.24],[-21.19],[-20.13],[-44778.],[43018.],[-399.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
327,[18.66],[17.597],[0.13],[0.14],[0.01],[0.01],[-0.],[-0.03],[-0.01],[-0.01],[-0.01],[-0.],[0.],[0.],[0.],[-0.],[-0.05],[-1.25],[-1.3],[-1.25],[-0.13],[0.33],[-0.47],[0.51],[1.11],[0.59],[-0.51],[-0.37],[0.14],[0.04],[-0.08],[-0.08],[0.],[0.],[638.12],[0.],[-19.57],[-20.73],[-24.01],[-24.15],[26.06],[26.22],[-21.24],[-20.12],[-44778.],[43018.],[-399.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
328,[18.71],[17.597],[0.13],[0.14],[0.],[0.01],[0.02],[-0.03],[0.01],[0.01],[0.03],[-0.],[0.],[-0.],[0.],[-0.],[-1.28],[-1.25],[-1.3],[-1.25],[0.17],[0.33],[-0.34],[0.51],[1.32],[0.59],[-0.1],[-0.37],[0.04],[0.04],[-0.08],[-0.12],[0.],[0.],[-0.04],[0.],[-19.58],[-20.73],[-23.94],[-24.15],[26.06],[26.2],[-21.26],[-20.09],[-44776.],[43018.],[-399.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
329,[18.759],[17.597],[0.13],[0.14],[-0.],[0.01],[-0.03],[-0.03],[0.01],[0.01],[-0.01],[-0.],[-0.],[-0.],[-0.],[-0.],[-1.28],[-1.25],[-0.05],[-1.25],[0.58],[0.33],[0.5],[0.51],[1.23],[0.59],[-1.52],[-1.16],[-0.04],[0.],[-0.08],[-0.08],[0.],[0.],[-0.04],[0.],[-19.57],[-20.73],[-23.94],[-24.15],[26.06],[26.18],[-21.39],[-20.04],[-44694.],[43018.],[-400.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
330,[18.808],[17.597],[0.14],[0.14],[0.],[0.01],[-0.03],[-0.04],[0.02],[0.01],[0.],[-0.],[-0.],[-0.],[0.],[-0.],[-0.],[-1.25],[-1.28],[-1.25],[0.18],[0.33],[0.25],[0.51],[0.08],[-0.18],[-3.57],[-1.16],[-0.02],[0.],[-0.08],[0.14],[0.],[0.],[-0.06],[0.],[-19.58],[-20.73],[-23.92],[-24.15],[26.06],[26.18],[-21.51],[-19.98],[-44551.],[43018.],[-403.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
331,[18.861],[17.597],[0.14],[0.14],[-0.],[0.01],[0.03],[0.03],[0.02],[0.01],[-0.01],[-0.02],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[-1.28],[-1.25],[0.14],[0.33],[-0.24],[0.51],[-0.92],[-0.18],[-2.31],[-1.16],[0.06],[0.],[-0.08],[-0.29],[0.],[0.],[-0.08],[0.],[-19.57],[-20.73],[-23.89],[-24.15],[26.06],[26.15],[-21.69],[-20.01],[-44461.],[43018.],[-404.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
332,[18.91],[17.597],[0.13],[0.14],[0.01],[0.01],[0.03],[0.04],[-0.],[0.01],[0.],[0.01],[-0.],[-0.],[-0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[0.57],[0.33],[-0.1],[0.51],[-1.14],[-0.18],[-1.52],[-1.16],[0.02],[0.],[0.],[0.],[0.],[0.],[638.12],[0.],[-19.54],[-20.73],[-23.87],[-24.15],[26.06],[26.13],[-21.82],[-20.07],[-44416.],[43018.],[-410.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
333,[18.959],[17.597],[0.19],[0.14],[-0.],[0.01],[-0.01],[-0.02],[-0.02],[-0.02],[-0.],[0.01],[-0.],[-0.],[-0.],[-0.],[0.],[-1.25],[1.36],[-1.25],[0.56],[0.33],[-0.21],[0.51],[-0.41],[-0.18],[-2.19],[-1.16],[0.],[0.],[0.],[0.],[650.88],[0.],[-0.02],[0.],[-19.53],[-20.73],[-23.82],[-24.15],[26.06],[26.11],[-22.],[-20.1],[-44379.],[43018.],[-418.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
334,[19.009],[17.597],[0.19],[0.14],[-0.03],[0.01],[0.],[-0.02],[0.],[0.],[0.03],[0.02],[-0.],[-0.],[-0.],[-0.],[-0.],[-1.25],[-1.3],[-1.25],[-1.04],[0.33],[0.88],[0.51],[-0.31],[-0.18],[-0.88],[-0.76],[0.],[0.],[0.],[0.02],[0.],[0.],[0.],[0.],[-19.52],[-20.73],[-23.84],[-24.15],[26.06],[26.09],[-21.95],[-20.12],[-44379.],[43018.],[-418.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
335,[19.062],[17.597],[0.13],[0.14],[0.03],[0.02],[0.02],[-0.02],[0.],[-0.],[0.01],[-0.],[-0.],[-0.],[-0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[0.17],[0.33],[-0.5],[0.51],[0.44],[-0.18],[-1.42],[-0.76],[-0.04],[0.22],[0.08],[0.1],[0.],[0.],[0.],[0.],[-19.49],[-20.73],[-23.88],[-24.15],[26.06],[26.07],[-21.9],[-20.17],[-44379.],[43018.],[-418.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
336,[19.111],[17.597],[0.13],[0.14],[0.04],[0.02],[-0.01],[-0.02],[0.],[0.],[-0.01],[-0.],[-0.],[-0.],[-0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.41],[0.33],[1.18],[1.02],[-0.44],[-0.18],[0.02],[-0.37],[0.],[1.73],[0.16],[0.1],[0.],[0.],[0.],[0.],[-19.47],[-20.73],[-23.97],[-24.15],[26.06],[26.03],[-21.83],[-20.23],[-44379.],[43018.],[-418.],[-2157.],[163786.],[2073442.],[195210.],[2785843.]
337,[19.161],[17.597],[0.15],[0.14],[-0.04],[-0.02],[0.01],[-0.02],[0.],[0.],[-0.01],[-0.07],[-0.],[-0.],[-0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.42],[0.33],[0.9],[1.02],[1.19],[-0.18],[-0.53],[-0.37],[0.06],[1.02],[0.04],[0.02],[-3.55],[0.],[0.],[0.],[-19.52],[-20.73],[-24.08],[-24.15],[25.69],[25.95],[-21.81],[-20.21],[-44386.],[43018.],[-420.],[-2157.],[163786.],[2073442.],[195208.],[2785843.]
338,[19.209],[17.597],[0.13],[0.14],[-0.01],[0.],[-0.02],[-0.02],[0.],[-0.],[0.01],[0.05],[0.],[-0.],[-0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.92],[0.33],[1.03],[1.02],[0.83],[-0.18],[-0.42],[-0.37],[0.06],[2.28],[0.06],[0.],[638.12],[0.],[650.88],[0.],[-19.51],[-20.73],[-24.07],[-24.15],[25.56],[25.95],[-21.86],[-20.19],[-44382.],[43018.],[-424.],[-2157.],[163786.],[2073442.],[195208.],[2785843.]
339,[19.262],[17.597],[0.14],[0.14],[0.],[0.],[-0.02],[-0.02],[0.],[0.],[-0.01],[0.],[0.],[-0.],[-0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.13],[0.33],[1.94],[1.37],[0.15],[-0.18],[-0.75],[-0.37],[0.06],[3.8],[0.12],[0.1],[-2.79],[0.],[0.],[0.],[-19.49],[-20.73],[-24.05],[-24.15],[25.62],[25.95],[-21.93],[-20.16],[-44382.],[43018.],[-424.],[-2157.],[163786.],[2073442.],[195208.],[2785843.]
340,[19.311],[17.597],[0.11],[0.12],[0.],[0.],[0.02],[-0.02],[0.],[0.],[-0.01],[0.],[-0.],[-0.],[-0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[0.65],[0.33],[1.36],[1.37],[-1.18],[-0.18],[-0.53],[-0.37],[0.06],[4.13],[0.],[0.],[-3.02],[0.],[0.],[0.],[-19.47],[-20.73],[-24.02],[-24.15],[25.63],[25.95],[-22.02],[-20.2],[-44383.],[43018.],[-424.],[-2157.],[163786.],[2073442.],[195208.],[2785843.]
341,[19.361],[17.597],[0.11],[0.12],[0.01],[0.01],[-0.04],[-0.02],[0.],[-0.],[0.01],[0.],[-0.],[-0.],[0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[0.14],[0.33],[2.02],[2.37],[0.45],[-0.18],[-0.78],[-0.37],[0.],[4.9],[0.],[0.],[-2.55],[0.],[650.88],[0.],[-19.42],[-20.73],[-24.],[-24.15],[25.58],[26.11],[-22.08],[-20.23],[-44383.],[43018.],[-424.],[-2157.],[163786.],[2073442.],[195208.],[2785843.]
342,[19.414],[17.597],[0.14],[0.13],[-0.],[0.],[0.01],[-0.02],[0.],[0.],[0.],[0.],[-0.],[-0.],[-0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.1],[0.33],[2.02],[2.03],[-0.4],[-0.18],[0.68],[0.45],[0.],[2.64],[0.],[0.],[-1.32],[0.],[0.],[0.],[-19.42],[-20.73],[-23.97],[-24.15],[25.4],[25.14],[-22.1],[-20.26],[-44381.],[43018.],[-426.],[-2157.],[163786.],[2073442.],[195208.],[2785843.]
343,[19.463],[17.597],[0.13],[0.13],[-0.01],[-0.02],[0.02],[-0.02],[0.],[0.],[-0.01],[0.],[-0.],[-0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.8],[0.33],[2.02],[2.45],[0.35],[-0.18],[1.11],[0.45],[0.],[1.1],[0.],[0.],[-0.41],[0.],[0.],[0.],[-19.38],[-20.73],[-23.98],[-24.15],[25.18],[25.14],[-22.06],[-20.3],[-44381.],[43018.],[-426.],[-2157.],[163786.],[2073442.],[195208.],[2785843.]
344,[19.513],[17.597],[0.14],[0.13],[-0.01],[-0.01],[-0.01],[-0.02],[0.01],[0.],[0.01],[0.],[-0.],[-0.],[0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[0.38],[0.33],[2.02],[2.7],[-0.28],[-0.18],[0.84],[0.45],[0.],[1.31],[0.],[0.],[-0.02],[0.],[0.],[0.],[-19.38],[-20.73],[-24.23],[-24.15],[25.06],[25.13],[-21.99],[-20.31],[-44384.],[43018.],[-433.],[-2157.],[163786.],[2073442.],[195208.],[2785843.]
345,[19.562],[17.597],[0.13],[0.13],[-0.01],[-0.01],[-0.01],[-0.02],[-0.],[0.],[0.03],[0.03],[0.],[-0.],[0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[0.37],[0.33],[2.02],[2.68],[1.13],[-0.18],[0.55],[0.45],[0.],[0.98],[0.],[0.],[-0.2],[0.],[0.],[0.],[-19.37],[-20.73],[-24.38],[-24.15],[25.],[25.13],[-21.92],[-20.33],[-44393.],[43018.],[-449.],[-2157.],[163786.],[2073442.],[195207.],[2785843.]
346,[19.614],[17.597],[0.11],[0.13],[-0.01],[-0.01],[-0.],[-0.02],[0.04],[0.],[-0.02],[0.],[-0.],[-0.],[-0.],[-0.],[0.],[-1.25],[0.],[-1.25],[0.7],[0.33],[1.17],[1.31],[1.14],[-0.18],[1.08],[0.45],[0.],[0.98],[0.],[0.],[-0.46],[0.],[0.],[0.],[-19.33],[-20.73],[-24.45],[-24.15],[25.07],[25.13],[-21.93],[-20.39],[-44414.],[43018.],[-460.],[-2157.],[163786.],[2073442.],[195207.],[2785843.]
347,[19.664],[17.597],[0.14],[0.13],[-0.],[0.01],[-0.],[-0.02],[0.],[0.],[0.01],[0.],[-0.],[-0.],[-0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[0.76],[0.33],[0.39],[1.39],[2.08],[-0.18],[0.49],[0.45],[0.],[0.63],[0.],[0.],[650.88],[0.],[0.],[0.],[-19.31],[-20.73],[-24.42],[-24.15],[25.1],[25.13],[-21.96],[-20.43],[-44457.],[43018.],[-465.],[-2157.],[163786.],[2073442.],[195207.],[2785843.]
348,[19.713],[17.597],[0.16],[0.13],[-0.],[-0.02],[-0.],[-0.02],[0.],[-0.01],[-0.01],[-0.01],[-0.],[-0.],[-0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[0.33],[0.33],[1.17],[4.26],[2.],[-0.18],[0.09],[0.45],[0.],[1.86],[-0.18],[-0.2],[-1.],[0.],[0.],[0.],[-19.29],[-20.73],[-24.36],[-24.15],[25.06],[25.13],[-21.96],[-20.45],[-44502.],[43018.],[-468.],[-2157.],[163786.],[2073442.],[195207.],[2785843.]
349,[19.762],[17.597],[0.13],[0.13],[-0.],[0.01],[-0.],[-0.02],[0.01],[0.01],[-0.01],[-0.02],[-0.],[-0.],[-0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[0.03],[0.3],[1.17],[3.86],[-0.63],[-0.18],[0.38],[0.45],[0.02],[1.42],[-0.18],[-0.29],[-1.53],[0.],[0.],[0.],[-19.26],[-20.73],[-24.34],[-24.15],[24.98],[24.9],[-21.96],[-20.42],[-44510.],[43018.],[-468.],[-2157.],[163786.],[2073442.],[195207.],[2785843.]
350,[19.811],[17.597],[0.14],[0.13],[-0.],[-0.],[0.],[-0.02],[0.01],[0.01],[0.06],[0.02],[-0.],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[0.6],[0.3],[-0.8],[-0.85],[-0.17],[-0.18],[0.38],[0.45],[7.46],[4.04],[-0.08],[0.24],[-1.47],[0.],[0.],[0.],[-19.22],[-20.73],[-24.32],[-24.15],[24.9],[24.9],[-21.93],[-20.41],[-44536.],[43018.],[-461.],[-2157.],[163786.],[2073442.],[195207.],[2785843.]
351,[19.861],[17.597],[0.13],[0.13],[-0.],[-0.],[-0.03],[-0.02],[-0.04],[-0.01],[-0.05],[-0.02],[-0.],[-0.],[-0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[-0.32],[0.3],[-0.16],[0.55],[-0.66],[-0.18],[-0.22],[0.45],[7.46],[4.67],[-0.12],[-0.06],[-1.68],[0.],[650.88],[0.],[-19.2],[-20.73],[-24.33],[-24.15],[24.83],[24.76],[-21.98],[-20.57],[-44567.],[43018.],[-457.],[-2157.],[163786.],[2073442.],[195207.],[2785843.]
352,[19.91],[17.597],[0.12],[0.13],[0.02],[0.02],[0.02],[-0.02],[-0.07],[-0.01],[-0.08],[-0.03],[-0.],[-0.],[0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[-0.06],[0.3],[0.91],[1.49],[0.11],[-0.18],[0.45],[0.45],[7.46],[6.22],[-0.1],[-0.06],[-1.51],[0.],[0.],[0.],[-19.2],[-20.73],[-24.35],[-24.15],[24.76],[24.76],[-21.97],[-20.61],[-44587.],[43018.],[-457.],[-2157.],[163786.],[2073442.],[195207.],[2785843.]
353,[19.96],[17.597],[0.14],[0.13],[0.02],[0.04],[0.],[-0.02],[0.07],[-0.01],[0.07],[0.03],[-0.01],[-0.],[0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[0.24],[0.3],[0.65],[0.41],[-0.61],[-0.18],[1.71],[0.45],[7.46],[6.16],[0.],[-0.06],[-0.02],[0.],[0.],[0.],[-19.17],[-20.73],[-24.41],[-24.15],[24.66],[24.65],[-22.],[-20.64],[-44598.],[43018.],[-456.],[-2157.],[163753.],[2073442.],[195207.],[2785843.]
354,[20.008],[17.597],[0.14],[0.13],[-0.01],[-0.03],[0.02],[-0.02],[-0.01],[-0.01],[-0.01],[0.],[-0.01],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[0.31],[0.3],[0.31],[0.41],[-0.17],[-0.18],[0.5],[0.45],[7.46],[5.76],[0.04],[-0.06],[0.],[0.],[0.],[0.],[-19.19],[-20.73],[-24.39],[-24.15],[24.66],[24.65],[-22.1],[-20.6],[-44636.],[43018.],[-454.],[-2157.],[163752.],[2073442.],[195210.],[2785843.]
355,[20.061],[17.597],[0.12],[0.13],[-0.01],[-0.01],[-0.02],[-0.02],[0.],[0.],[0.],[0.],[0.],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[-0.02],[0.3],[0.29],[0.41],[0.09],[-0.18],[0.8],[0.45],[7.46],[9.71],[0.],[-0.06],[0.],[0.],[0.22],[0.],[-19.19],[-20.73],[-24.34],[-24.15],[24.61],[24.65],[-22.11],[-20.54],[-44684.],[43018.],[-449.],[-2157.],[163752.],[2073442.],[195211.],[2785843.]
356,[20.11],[17.597],[0.13],[0.13],[-0.01],[-0.01],[0.02],[-0.02],[0.],[0.],[0.01],[0.01],[0.01],[-0.],[0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[0.47],[0.3],[0.13],[0.41],[0.96],[-0.18],[0.22],[0.28],[7.46],[6.81],[0.02],[-0.06],[0.],[0.],[638.12],[0.],[-19.18],[-20.73],[-24.3],[-24.15],[24.5],[24.33],[-22.13],[-20.51],[-44709.],[43018.],[-447.],[-2157.],[196504.],[2073442.],[227963.],[2785843.]
357,[20.159],[17.597],[0.13],[0.13],[-0.01],[-0.01],[-0.01],[-0.02],[0.],[0.],[0.01],[0.01],[-0.],[-0.],[0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[-0.11],[0.3],[0.1],[0.41],[1.4],[-0.18],[3.09],[0.28],[4.54],[4.2],[0.],[-0.06],[0.],[0.],[0.04],[0.],[-19.16],[-20.73],[-24.28],[-24.15],[24.5],[24.48],[-22.14],[-20.51],[-44724.],[43018.],[-447.],[-2157.],[229048.],[2073442.],[260507.],[2785843.]
358,[20.209],[17.597],[0.13],[0.13],[0.02],[0.02],[-0.03],[-0.09],[0.],[0.],[0.02],[0.01],[-0.01],[-0.],[-0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[-0.23],[0.3],[0.08],[0.41],[0.36],[-0.18],[0.71],[0.28],[3.43],[4.2],[-0.16],[-0.08],[0.],[0.],[0.02],[0.],[-19.16],[-20.73],[-24.25],[-24.15],[24.23],[24.2],[-22.21],[-20.47],[-44732.],[43018.],[-440.],[-2157.],[229051.],[2073442.],[260513.],[2785843.]
359,[20.258],[17.597],[0.14],[0.13],[-0.06],[-0.04],[-0.03],[-0.05],[0.],[0.],[0.],[-0.01],[-0.],[-0.],[0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[-1.03],[0.3],[0.32],[0.41],[-0.62],[-0.86],[-3.37],[-3.16],[2.57],[1.18],[-0.1],[-0.08],[0.],[0.],[0.16],[0.],[-19.14],[-20.73],[-24.24],[-24.15],[23.99],[24.2],[-22.4],[-20.47],[-44731.],[43018.],[-429.],[-2157.],[229051.],[2073442.],[260513.],[2785843.]
