,Ref_task1_Time,User_task1_Time,Ref_task1_Force,User_task1_Force,Ref_task1_L_pitchAcc,User_task1_L_pitchAcc,Ref_task1_L_yawAcc,User_task1_L_yawAcc,Ref_task1_L_surgeAcc,User_task1_L_surgeAcc,Ref_task1_L_rollAcc,User_task1_L_rollAcc,Ref_task1_L_pitchVel,User_task1_L_pitchVel,Ref_task1_L_yawVel,User_task1_L_yawVel,Ref_task1_L_surgeVel,User_task1_L_surgeVel,Ref_task1_L_rollVel,User_task1_L_rollVel,Ref_task1_L_pitch,User_task1_L_pitch,Ref_task1_L_yaw,User_task1_L_yaw,Ref_task1_L_surge,User_task1_L_surge,Ref_task1_L_roll,User_task1_L_roll,Ref_task1_L_x,User_task1_L_x,Ref_task1_L_y,User_task1_L_y,Ref_task1_L_z,User_task1_L_z,Ref_task1_L_motion,User_task1_L_motion,Ref_task1_R_pitchAcc,User_task1_R_pitchAcc,Ref_task1_R_yawAcc,User_task1_R_yawAcc,Ref_task1_R_surgeAcc,User_task1_R_surgeAcc,Ref_task1_R_rollAcc,User_task1_R_rollAcc,Ref_task1_R_pitchVel,User_task1_R_pitchVel,Ref_task1_R_yawVel,User_task1_R_yawVel,Ref_task1_R_surgeVel,User_task1_R_surgeVel,Ref_task1_R_rollVel,User_task1_R_rollVel
692,,,[0.],[0.],,,,,[0.02],[0.01],,,[0.01],[0.02],[-0.],[-0.],[0.02],[-0.],[-0.],[-0.],[3.31],[3.81],,,[6.3],[1.64],[2.68],[1.53],[0.02],[-0.18],[0.],[-0.02],[-3.13],[1.07],[0.07],[0.],[-9.91],[-11.53],[-29.82],[-29.55],[16.],[19.12],[-15.56],[-25.58],,,,,[-13740.],[-20888.],[-894.],[-717.]
693,,,[0.],[0.],,,,,[-0.09],[0.],,,[0.01],[0.02],[-0.],[-0.],[-0.01],[-0.],[0.],[-0.],[3.31],[0.98],,,[-0.02],[1.13],[1.28],[1.53],[0.02],[-0.08],[0.1],[-0.02],[-5.66],[6.02],[-0.11],[-0.05],[-9.91],[-11.3],[-29.64],[-29.47],[16.05],[19.09],[-15.55],[-25.52],,,,,[-12937.],[-20914.],[-894.],[-673.]
694,,,[0.],[0.],,,,,[0.05],[0.],,,[-0.],[-0.],[-0.],[-0.],[-0.03],[-0.],[0.],[-0.],[3.31],[3.95],,,[-0.04],[1.13],[-1.04],[1.53],[0.02],[-0.03],[0.07],[-0.02],[-4.42],[5.14],[-0.11],[-0.13],[-9.91],[-11.24],[-29.31],[-29.19],[16.07],[19.08],[-15.51],[-25.45],,,,,[-12673.],[-20951.],[-880.],[-638.]
695,,,[0.],[0.],,,,,[-0.03],[-0.01],,,[-0.],[-0.],[-0.],[-0.],[-0.02],[-0.],[-0.01],[-0.01],[3.31],[4.91],,,[0.07],[0.28],[0.25],[1.53],[-1.42],[-0.03],[0.08],[-1.82],[-4.26],[4.93],[-0.1],[-0.13],[-9.91],[-11.01],[-29.31],[-29.2],[15.98],[19.04],[-15.69],[-25.43],,,,,[-12579.],[-21073.],[-894.],[-625.]
696,,,[0.],[0.],,,,,,,,,[-0.],[0.],[-0.],[-0.],[0.03],[0.],[0.01],[0.01],[3.31],[9.75],,,[0.01],[0.28],[7.21],[1.53],[-1.66],[0.15],[0.2],[1.29],[-3.48],[2.17],[-0.05],[-0.03],[-9.91],[-10.71],[-29.31],[-29.37],[15.94],[18.99],,,,,,,[-12210.],[-21359.],[-900.],[-620.]
697,,,[0.],[0.],,,,,,,,,[-0.],[-0.],[-0.],[-0.],[0.01],[0.],[-0.01],[-0.01],[3.31],[9.71],,,[5.62],[0.76],[6.5],[1.53],[1.61],[1.02],[0.2],[0.43],,,[0.11],[0.2],[-9.91],[-10.13],[-29.31],[-29.26],[15.91],[18.98],,,,,,,[-12070.],[-21639.],[-904.],[-620.]
698,,,[0.],[0.],,,,,,,,,[-0.],[-0.01],[-0.],[-0.],[-0.05],[0.],[0.],[-0.],[3.31],[8.8],,,[0.68],[0.76],[6.7],[1.53],[3.85],[1.33],[0.08],[0.02],,,[0.02],[0.],[-9.7],[-9.53],[-28.68],[-28.98],[15.9],[18.93],,,,,,,[-11690.],[-21976.],[-877.],[-640.]
699,,,[0.],[0.],,,,,,,,,[-0.],[0.01],[-0.],[-0.],[-0.],[0.],[0.],[0.01],[3.31],[6.91],,,[-0.68],[-0.6],[10.89],[1.53],[4.64],[1.33],[0.],[0.02],,,[0.02],[0.],[-9.63],[-8.99],[-28.68],[-28.73],[16.1],[18.82],,,,,,,[-11156.],[-22433.],[-913.],[-682.]
700,,,[0.],[0.],,,,,,,,,[-0.],[0.],[-0.],[-0.],[-0.16],[0.],[0.],[0.],[1.27],[-0.58],,,[-3.89],[-0.6],[12.89],[1.41],[0.39],[1.33],[0.08],[0.02],,,[0.02],[0.02],[-9.63],[-8.56],[-28.34],[-28.47],[16.3],[18.81],,,,,,,[-11011.],[-22513.],[-965.],[-695.]
701,,,[0.],[0.],,,,,,,,,[-0.],[-0.],[-0.],[-0.],[-0.12],[0.],[0.],[-0.],[-0.24],[-1.15],,,[-2.53],[-0.6],[4.5],[1.1],[-2.16],[1.33],[0.],[-0.02],,,[0.02],[0.],[-9.63],[-8.6],[-28.34],[-28.5],[16.26],[18.8],,,,,,,[-10397.],[-22509.],[-1008.],[-727.]
